title,alcohol,volume,sale,savings,price,inventory,link
Dry Fly Straight Triticale Whiskey,44 %,750 ml,,,$92.00,,https://www.saq.com/page/en/saqcom/american-whiskey/dry-fly-straight-triticale-whiskey/12551803
Sheep Dip Islay Scotch Whisky Islay,40 %,700 ml,,,$71.75,,https://www.saq.com/page/en/saqcom/scotch-blended-malt/sheep-dip-islay-scotch-whisky-islay/12727186
Johnnie Walker Blue Label Anniversary Scotch Blended,61 %,700 ml,,,"$4,356.50",,https://www.saq.com/page/en/saqcom/scotch-blended/johnnie-walker-blue-label-anniversary-scotch-blended/10868196
Littlemill 16 ans Scotch Single Malt,57.3 %,700 ml,,,$233.75,,https://www.saq.com/page/en/saqcom/scotch-single-malt/littlemill-16-ans-scotch-single-malt/11131487
Linkwood 22 ans Hart Brothers Speyside Scotch Single Malt,46 %,700 ml,,,$231.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/linkwood-22-ans-hart-brothers-speyside-scotch-single-malt/12347589
J.P. Wiser's Hopped,40 %,750 ml,,,$29.20,,https://www.saq.com/page/en/saqcom/canadian-whisky/jp-wisers-hopped/13064468
J.P. Wiser's Spiced Torched Toffee,43 %,750 ml,,,$29.20,,https://www.saq.com/page/en/saqcom/canadian-whisky/jp-wisers-spiced-torched-toffee/12729915
Evan Williams Single Barrel Vintage Kentucky Bourbon,43.3 %,750 ml,,,$52.75,,https://www.saq.com/page/en/saqcom/american-whiskey/evan-williams-single-barrel-vintage-kentucky-bourbon/10288247
Jack Daniel's Old No 7,40 %,200 ml,,,$8.75,,https://www.saq.com/page/en/saqcom/american-whiskey/jack-daniels-old-no-7/11582966
J.P. Wiser's Spiced Vanilla Canadian Whisky,43 %,750 ml,,,$31.00,,https://www.saq.com/page/en/saqcom/canadian-whisky/jp-wisers-spiced-vanilla-canadian-whisky/12183596
Glen Spey 20 ans Hart Brothers Speyside Scotch Single Malt,46 %,700 ml,,,$198.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/glen-spey-20-ans-hart-brothers-speyside-scotch-single-malt/12347538
Glenfiddich 26 ans Excellence,43 %,750 ml,,,$799.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/glenfiddich-26-ans-excellence/13740681
