title,alcohol,volume,sale,savings,price,inventory,link
Crown Royal Black,45%,750 mL,,,$34.45,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/crown-royal-black-224352
Dunvilles PX 12YO Single Malt Irish Whiskey,45.66%,700 mL,,,$194.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/dunvilles-px-12yo-single-malt-irish-whiskey-14072
Dunville's 3 Crowns Peated Irish Whiskey,43.5%,700 mL,,,$117.50,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/dunvilles-3-crowns-peated-irish-whiskey-477322
Dun Bheagan Islay Single Malt Scotch Whisky,43%,750 mL,,,$55.10,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/dun-bheagan-islay-single-malt-scotch-whisky-576397
Dry Fly 3 Yo Straight Wheat Whiskey,45%,750 mL,,,$83.20,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/dry-fly-3-yo-straight-wheat-whiskey-618744
Double Barrel Bowmore And Inchgower + Blended,46%,700 mL,,,$108.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/double-barrel-bowmore-and-inchgower-blended%09-668830
Douglas And Todd Small Batch Bourbon Whiskey,46.5%,750 mL,,,$75.45,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/douglas-and-todd-small-batch-bourbon-whiskey-643932
Glen Moray Single Malt Port Cask Finish,40%,700 mL,,,$48.25,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/glen-moray-single-malt-port-cask-finish%09-644096
Dillon's Rye Whisky,43%,750 mL,,,$44.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/dillons-rye-whisky-14915
J.P. Wiser's Deluxe Whisky,40%,1140 mL,,,$42.75,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/jp-wisers-deluxe-whisky-216689
J.P. Wiser's Deluxe Whisky,40%,1750 mL,,,$63.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/jp-wisers-deluxe-whisky-33928
J.P. Wiser's Deluxe Whisky,40%,375 mL,,,$15.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/jp-wisers-deluxe-whisky-9522
J.P. Wiser's Deluxe Whisky,40%,200 mL,,,$8.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/jp-wisers-deluxe-whisky-413716
J.P. Wiser's Deluxe Whisky,40%,750 mL,,,$29.50,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/jp-wisers-deluxe-whisky-893
J.P. Wiser's 23YO Canadian Whisky,64.3%,750 mL,,,$149.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/jp-wisers-23yo-canadian-whisky-13785
