title,alcohol,volume,savings,%,price,link
Bruichladdich Octomore 7.1,59.50%,750 mL ,,$225.10,,http://www.lcbo.com/lcbo/product/bruichladdich-octomore-71/387407
Ninety Canadian Rye Whisky 20 Year Old,45.00%,750 mL ,,$58.35,,http://www.lcbo.com/lcbo/product/ninety-canadian-rye-whisky-20-year-old/355644
Lot No. 40 Single Copper Pot Still Canadian Whisky,43.00%,750 mL ,,$39.95,,http://www.lcbo.com/lcbo/product/lot-no-40-single-copper-pot-still-canadian-whisky/382861
Talisker Storm,46.00%,750 mL ,,$88.50,,http://www.lcbo.com/lcbo/product/talisker-storm/383216
Deanston Virgin Oak,46.30%,750 mL ,,$50.05,,http://www.lcbo.com/lcbo/product/deanston-virgin-oak/375568
West Cork Bourbon Cask,40.00%,700 mL ,,$44.05,,http://www.lcbo.com/lcbo/product/west-cork-bourbon-cask/367722
Laphroaig Quarter Cask Single Islay Malt Scotch Whisky,48.00%,750 mL ,,$84.30,,http://www.lcbo.com/lcbo/product/laphroaig-quarter-cask-single-islay-malt-scotch-whisky/19158
Buffalo Trace Kentucky Straight Bourbon Whiskey,45.00%,750 mL ,,$43.25,,http://www.lcbo.com/lcbo/product/buffalo-trace-kentucky-straight-bourbon-whiskey/605063
Elijah Craig Small Batch Bourbon Whiskey,47.00%,750 mL ,,$47.85,,http://www.lcbo.com/lcbo/product/elijah-craig-small-batch-bourbon-whiskey/547729
Maker's Mark 46,46.40%,750 mL ,,$64.35,,http://www.lcbo.com/lcbo/product/maker-s-mark-46/225565
Writers Tears Copper Pot Irish Whiskey,40.00%,700 mL ,,$48.95,,http://www.lcbo.com/lcbo/product/writers-tears-copper-pot-irish-whiskey/271106
Auchentoshan Three Wood Lowland Single Malt,43.00%,750 mL ,,$79.35,,http://www.lcbo.com/lcbo/product/auchentoshan-three-wood-lowland-single-malt/720532
Glenfiddich 14 Year Old Rich Oak,40.00%,750 mL ,,$69.00,,http://www.lcbo.com/lcbo/product/glenfiddich-14-year-old-rich-oak/315788
Stalk & Barrel Single Malt Whisky,46.00%,750 mL ,,$69.95,,http://www.lcbo.com/lcbo/product/stalk-barrel-single-malt-whisky/382770
Highland Park 12 Year Old Single Malt Scotch Whisky,43.00%,750 mL ,,$69.50,,http://www.lcbo.com/lcbo/product/highland-park-12-year-old-single-malt-scotch-whisky/204560
Maker's Mark Kentucky Bourbon,45.00%,750 mL ,,$44.90,,http://www.lcbo.com/lcbo/product/maker-s-mark-kentucky-bourbon/103747
Balvenie 12 Year Old Single Barrel,47.80%,750 mL ,,$151.90,,http://www.lcbo.com/lcbo/product/balvenie-12-year-old-single-barrel/361055
T̩ Bheag Scotch Whisky,40.00%,700 mL ,,$40.75,,http://www.lcbo.com/lcbo/product/te-bheag-scotch-whisky/949172
The Balvenie 12 Years Old Doublewood Scotch Whisky,40.00%,750 mL ,,$93.35,,http://www.lcbo.com/lcbo/product/the-balvenie-12-years-old-doublewood-scotch-whisky/387316
Bushmills Malt 10 Year Old,40.00%,750 mL ,,$46.15,,http://www.lcbo.com/lcbo/product/bushmills-malt-10-year-old/131870
Jack Daniel's Single Barrel Whiskey,47.00%,750 mL ,,$56.55,,http://www.lcbo.com/lcbo/product/jack-daniel-s-single-barrel-whiskey/480616
Ardbeg 10 Year Old Islay Scotch Whisky,46.00%,750 mL ,,$98.65,,http://www.lcbo.com/lcbo/product/ardbeg-10-year-old-islay-scotch-whisky/560474
Glen Garioch Founder's Reserve,48.00%,750 mL ,,$60.00,,http://www.lcbo.com/lcbo/product/glen-garioch-founder-s-reserve/210252
Aberlour 12YO Single Malt Scotch Whisky,40.00%,750 mL ,,$69.00,,http://www.lcbo.com/lcbo/product/aberlour-12yo-single-malt-scotch-whisky/352104
Grant's Family Reserve Scotch Whisky,40.00%,200 mL ,,$9.00,,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/476382
Glendronach 12 Year Old Single Highland Malt Scotch Whisky,43.00%,750 mL ,,$77.00,,http://www.lcbo.com/lcbo/product/glendronach-12-year-old-single-highland-malt-scotch-whisky/601872
Forty Creek Barrel Select Whisky,40.00%,1140 mL ,,$41.10,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/350629
Jura Superstition Single Malt Scotch Whisky,43.00%,750 mL ,,$73.85,,http://www.lcbo.com/lcbo/product/jura-superstition-single-malt-scotch-whisky/38927
Johnnie Walker Gold Reserve,40.00%,750 mL ,,$83.55,,http://www.lcbo.com/lcbo/product/johnnie-walker-gold-reserve/291278
