title,alcohol,volume,sale,savings,price,inventory,link
Woodford Reserve Distiller's Select,45.2%,750 mL ,,,$49.95,,http://www.lcbo.com/lcbo/product/woodford-reserve-distiller-s-select/480624
Ardbeg 10 Year Old Islay Scotch Whisky,46.0%,750 mL ,,,$100.10,,http://www.lcbo.com/lcbo/product/ardbeg-10-year-old-islay-scotch-whisky/560474
Glen Garioch Founder's Reserve,48.0%,750 mL ,,,$60.25,,http://www.lcbo.com/lcbo/product/glen-garioch-founder-s-reserve/210252
Writers Tears Copper Pot Irish Whiskey,40.0%,700 mL ,,,$49.95,,http://www.lcbo.com/lcbo/product/writers-tears-copper-pot-irish-whiskey/271106
Johnnie Walker Blue Label,40.0%,750 mL ,,,$299.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-blue-label/308155
Buffalo Trace Kentucky Straight Bourbon Whiskey,45.0%,750 mL ,,,$43.00,,http://www.lcbo.com/lcbo/product/buffalo-trace-kentucky-straight-bourbon-whiskey/605063
Glenfiddich 14 Year Old Rich Oak,40.0%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/glenfiddich-14-year-old-rich-oak/315788
Aberlour 12YO Single Malt Scotch Whisky,40.0%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/aberlour-12yo-single-malt-scotch-whisky/352104
Jura Superstition Single Malt Scotch Whisky,43.0%,750 mL ,,,$74.95,,http://www.lcbo.com/lcbo/product/jura-superstition-single-malt-scotch-whisky/38927
Forty Creek Barrel Select Whisky,40.0%,1140 mL ,,,$41.10,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/350629
Auchentoshan Three Wood Lowland Single Malt,43.0%,750 mL ,,,$95.95,,http://www.lcbo.com/lcbo/product/auchentoshan-three-wood-lowland-single-malt/720532
Laphroaig Quarter Cask Single Islay Malt Scotch Whisky,48.0%,750 mL ,,,$85.20,,http://www.lcbo.com/lcbo/product/laphroaig-quarter-cask-single-islay-malt-scotch-whisky/19158
Highland Park 12 Year Old Single Malt Scotch Whisky,43.0%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/highland-park-12-year-old-single-malt-scotch-whisky/204560
