title,alcohol,volume,sale,savings,price,inventory,link
Negrar Amarone Classico DOCG,15.5%,750 mL ,,,$34.95,,http://www.lcbo.com/lcbo/product/negrar-amarone-classico-docg/44784
Wolf Blass Yellow Label Shiraz,13.5%,750 mL ,,,$16.95,,http://www.lcbo.com/lcbo/product/wolf-blass-yellow-label-shiraz/506691
Michael David 7 Deadly Zins Old Vine Zinfandel,14.5%,750 mL ,,,$26.95,,http://www.lcbo.com/lcbo/product/michael-david-7-deadly-zins-old-vine-zinfandel/59311
Cesari Mara Valpolicella Ripasso Superiore DOC,13.5%,750 mL ,,,$19.95,,http://www.lcbo.com/lcbo/product/cesari-mara-valpolicella-ripasso-superiore-doc/506519
Cesari Adesso Merlot,12.0%,750 mL ,,,$8.75,,http://www.lcbo.com/lcbo/product/cesari-adesso-merlot/572453
Pelee Island Nest Pinot Noir,12.5%,750 mL ,,,$11.95,,http://www.lcbo.com/lcbo/product/pelee-island-nest-pinot-noir/45617
Ruffino Chianti,12.5%,1500 mL ,,,$28.75,,http://www.lcbo.com/lcbo/product/ruffino-chianti/42606
B & G Cuvee Speciale Rouge,12.0%,1500 mL ,,,$15.95,,http://www.lcbo.com/lcbo/product/b-g-cuvee-speciale-rouge/86710
Bosco Montepulciano D'Abruzzo DOC,12.5%,750 mL ,,,$8.35,,http://www.lcbo.com/lcbo/product/bosco-montepulciano-d-abruzzo-doc/328294
Peller Family Vineyards Red,11.5%,1000 mL ,,,$11.45,,http://www.lcbo.com/lcbo/product/peller-family-vineyards-red/63305
Nederburg The Winemaster's Shiraz,14.5%,750 mL ,,,$13.95,,http://www.lcbo.com/lcbo/product/nederburg-the-winemaster-s-shiraz/527457
Georges Duboeuf Beaujolais,13.0%,1500 mL ,,,$24.90,,http://www.lcbo.com/lcbo/product/georges-duboeuf-beaujolais/526327
Citra Sangiovese Terre Di Chieti IGP,13.0%,750 mL ,,,$8.40,,http://www.lcbo.com/lcbo/product/citra-sangiovese-terre-di-chieti-igp/480756
Zenato Ripassa Valpolicella Superiore,13.5%,750 mL ,,,$26.95,,http://www.lcbo.com/lcbo/product/zenato-ripassa-valpolicella-superiore/479766
Cline Zinfandel,14.0%,750 mL ,,,$16.75,,http://www.lcbo.com/lcbo/product/cline-zinfandel/489278
Mommessin Export St Pierre Rouge,12.0%,1500 mL ,,,$15.10,,http://www.lcbo.com/lcbo/product/mommessin-export-st-pierre-rouge/31211
Pelee Island Baco Noir VQA,12.5%,750 mL ,,,$12.95,,http://www.lcbo.com/lcbo/product/pelee-island-baco-noir-vqa/485128
Julián Chivite Gran Feudo Reserva,12.5%,750 mL ,,,$17.95,,http://www.lcbo.com/lcbo/product/julian-chivite-gran-feudo-reserva/479014
