title,alcohol,volume,sale,savings,price,inventory,link
Woodford Reserve Distiller's Select Bourbon,45.2%,750 mL bottle,,,$49.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/woodford-reserve-distillers-select-bourbon-480624
Wiser's Special Blend Whisky (PET),40%,1750 mL bottle,,,$61.15,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/wisers-special-blend-whisky-%28pet%29-112672
Wild Turkey Rare Breed Kentucky Straight Bourbon,58.4%,750 mL bottle,,,$60.65,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/wild-turkey-rare-breed-kentucky-straight-bourbon-455329
Wiser's Special Blend Whisky (PET),40%,375 mL bottle,,,$15.25,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/wisers-special-blend-whisky-%28pet%29-3517
Woodford Reserve Distiller's Select,45.2%,375 mL bottle,,,$25.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/woodford-reserve-distillers-select-15537
Wisers Special Blend Whisky,40%,1140 mL bottle,,,$40.90,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/wisers-special-blend-whisky-216671
Wiser's Special Blend Whisky (PET),40%,750 mL bottle,,,$27.20,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/wisers-special-blend-whisky-%28pet%29-517904
Wild Turkey Longbranch,43%,750 mL bottle,,,$59.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/wild-turkey-longbranch%09-575001
White Walker By Johnnie Walker Game Of Thrones,41.7%,750 mL bottle,,,$54.70,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/white-walker-by-johnnie-walker-game-of-thrones-633230
Wild Turkey 81 Proof Kentucky Straight Bourbon,40.5%,750 mL bottle,,,$32.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/wild-turkey-81-proof-kentucky-straight-bourbon-281824
Wild Turkey 101 Kentucky Straight Bourbon,50.5%,750 mL bottle,,,$40.40,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/wild-turkey-101-kentucky-straight-bourbon-479949
Whyte & Mackay Special Blend Scotch Whisky,40%,1140 mL bottle,,,$40.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/whyte-mackay-special-blend-scotch-whisky-195834
