title,alcohol,volume,savings,Savings,price,link,
Tincup American Whiskey,42.00%,750 mL ,,,$40.00,http://www.lcbo.com/lcbo/product/tincup-american-whiskey/421966,
Cask Islay Single Malt Scotch Whisky,46.00%,700 mL ,,,$81.25,http://www.lcbo.com/lcbo/product/cask-islay-single-malt-scotch-whisky/432922,
Glenmorangie Quinta Ruban Highland Single Malt Scotch Whisky,46.00%,750 mL ,,,$97.10,http://www.lcbo.com/lcbo/product/glenmorangie-quinta-ruban-highland-single-malt-scotch-whisky/241869,
Glengoyne 18 Year Old Highland Single Malt Scotch Whisky,43.00%,750 mL ,,,$169.95,http://www.lcbo.com/lcbo/product/glengoyne-18-year-old-highland-single-malt-scotch-whisky/426130,
Tomintoul 10 Year Old Speyside Glenlivet Single Malt Scotch Whisky,40.00%,700 mL ,,,$78.60,http://www.lcbo.com/lcbo/product/tomintoul-10-year-old-speyside-glenlivet-single-malt-scotch-whisky/181974,
Macallan Rare Cask Highland Single Malt Scotch Whisky,43.00%,750 mL ,,,$389.60,http://www.lcbo.com/lcbo/product/macallan-rare-cask-highland-single-malt-scotch-whisky/434100,
Tamdhu Speyside 10 Year Old Single Malt Scotch Whisky,43.00%,750 mL ,,,$88.90,http://www.lcbo.com/lcbo/product/tamdhu-speyside-10-year-old-single-malt-scotch-whisky/417923,
Glenmorangie Lasanta Extra Matured Highland Single Malt Scotch Whisky,46.00%,750 mL ,,,$92.75,http://www.lcbo.com/lcbo/product/glenmorangie-lasanta-extra-matured-highland-single-malt-scotch-whisky/241943,
Evan Williams 1783 Kentucky Straight Bourbon,43.00%,750 mL ,,,$39.30,http://www.lcbo.com/lcbo/product/evan-williams-1783-kentucky-straight-bourbon/395558,
McClelland's Speyside Single Malt Scotch Whisky,40.00%,750 mL ,,,$45.00,http://www.lcbo.com/lcbo/product/mcclelland-s-speyside-single-malt-scotch-whisky/573337,
Stranahan's Colorado Whiskey,47.00%,750 mL ,,,$65.30,http://www.lcbo.com/lcbo/product/stranahan-s-colorado-whiskey/430413,
Glengoyne 12 Year Old Highland Single Malt Scotch Whisky,43.00%,750 mL ,,,$84.95,http://www.lcbo.com/lcbo/product/glengoyne-12-year-old-highland-single-malt-scotch-whisky/417915,
Gooderham & Worts Canadian Whisky,44.40%,750 mL ,,,$44.95,http://www.lcbo.com/lcbo/product/gooderham-worts-canadian-whisky/428417,
Monkey Shoulder Blended Malt Scotch Whisky,43.00%,750 mL ,,,$65.45,http://www.lcbo.com/lcbo/product/monkey-shoulder-blended-malt-scotch-whisky/414334,
Glenfiddich Gran Reserva 21 Year Old Single Malt Scotch Whisky,40.00%,750 mL ,,,$380.45,http://www.lcbo.com/lcbo/product/glenfiddich-gran-reserva-21-year-old-single-malt-scotch-whisky/981381,
Canadian Club 100% Rye,40.00%,1140 mL ,,,$41.10,http://www.lcbo.com/lcbo/product/canadian-club-100-rye/438960,
The Dalmore 12 Year Old Highland Single Malt Scotch Whisky,40.00%,750 mL ,,,$99.95,http://www.lcbo.com/lcbo/product/the-dalmore-12-year-old-highland-single-malt-scotch-whisky/38901,
Evan Williams Kentucky Straight Bourbon,43.00%,750 mL ,,,$26.95,http://www.lcbo.com/lcbo/product/evan-williams-kentucky-straight-bourbon/405845,
Stalk & Barrel 100% Rye Whisky,46.00%,750 mL ,,,$59.95,http://www.lcbo.com/lcbo/product/stalk-barrel-100-rye-whisky/415810,
Kinsip Maple Whisky,40.00%,375 mL ,,,$33.05,http://www.lcbo.com/lcbo/product/kinsip-maple-whisky/453233,
Bowmore No. 1 Islay Single Malt Scotch Whisky,40.00%,750 mL ,,,$58.30,http://www.lcbo.com/lcbo/product/bowmore-no-1-islay-single-malt-scotch-whisky/493072,
Glenkinchie 12 Years Old Lowland Single Malt Scotch Whisky,43.00%,750 mL ,,,$88.50,http://www.lcbo.com/lcbo/product/glenkinchie-12-years-old-lowland-single-malt-scotch-whisky/69435,
Dillon's Rye Whisky,43.00%,500 mL ,,,$39.95,http://www.lcbo.com/lcbo/product/dillon-s-rye-whisky/497263,
Jura Tastival Single Malt Scotch Whisky,51.00%,700 mL ,,,$171.30,http://www.lcbo.com/lcbo/product/jura-tastival-single-malt-scotch-whisky/516476,
Stranahan's Diamond Peak Whiskey,47.00%,750 mL ,,,$79.20,http://www.lcbo.com/lcbo/product/stranahan-s-diamond-peak-whiskey/499574,
Glenfiddich Winter Storm Single Malt Scotch Whisky,43.00%,750 mL ,,,$379.95,http://www.lcbo.com/lcbo/product/glenfiddich-winter-storm-single-malt-scotch-whisky/535195,
Singleton Of Dufftown Tailfire Single Malt Scotch Whisky,40.00%,750 mL ,,,$49.55,http://www.lcbo.com/lcbo/product/singleton-of-dufftown-tailfire-single-malt-scotch-whisky/539361,
The Balvenie DoubleWood 17 Year Old Single Malt Scotch Whisky,43.00%,750 mL ,,,$292.45,http://www.lcbo.com/lcbo/product/the-balvenie-doublewood-17-year-old-single-malt-scotch-whisky/280099,
Penderyn Myth,41.00%,700 mL ,,,$69.90,http://www.lcbo.com/lcbo/product/penderyn-myth/516351,
Jack Daniel's Master Distiller #4 Jess Gamble,43.00%,750 mL ,,,$37.15,http://www.lcbo.com/lcbo/product/jack-daniel-s-master-distiller-4-jess-gamble/541847,
Johnnie Walker Blue Label Ghost And Rare Blend Scotch Whisky,46.00%,750 mL ,,,$535.85,http://www.lcbo.com/lcbo/product/johnnie-walker-blue-label-ghost-and-rare-blend-scotch-whisky/541623,
Talisker Distillers Edition Single Malt Scotch Whisky,45.80%,750 mL ,,,$117.50,http://www.lcbo.com/lcbo/product/talisker-distillers-edition-single-malt-scotch-whisky/503078,
Crown Royal Blenders Select,45.00%,750 mL ,,,$54.95,http://www.lcbo.com/lcbo/product/crown-royal-blenders-select/547885,
Founder's Original Old Fashioned,35.00%,200 mL ,,,$14.95,http://www.lcbo.com/lcbo/product/founder-s-original-old-fashioned/568667,
Cu Bocan,50.00%,750 mL ,,,$98.65,http://www.lcbo.com/lcbo/product/cu-bocan/578351,
Saddleback Maple Bacon Canadian Whisky,40.00%,750 mL ,,,$34.95,http://www.lcbo.com/lcbo/product/saddleback-maple-bacon-canadian-whisky/568386,
Clynelish 14 Year Old Single Malt Scotch Whisky,45.94%,750 mL ,,,$88.90,http://www.lcbo.com/lcbo/product/clynelish-14-year-old-single-malt-scotch-whisky/250357,
Benchmark Old No. 8 Brand Kentucky Straight Bourbon,40.00%,750 mL ,,,$29.95,http://www.lcbo.com/lcbo/product/benchmark-old-no-8-brand-kentucky-straight-bourbon/578450,
Booker's Kentucky Straight Bourbon,65.10%,750 mL ,,,$99.95,http://www.lcbo.com/lcbo/product/booker-s-kentucky-straight-bourbon/325993,
Signal Hill Canadian Whisky,40.00%,750 mL ,,,$39.95,http://www.lcbo.com/lcbo/product/signal-hill-canadian-whisky/572552,
Canadian Club Apple,35.00%,750 mL ,,,$27.95,http://www.lcbo.com/lcbo/product/canadian-club-apple/571950,
Koval Single Barrel Organic Bourbon Chicago,47.00%,750 mL ,,,$109.05,http://www.lcbo.com/lcbo/product/koval-single-barrel-organic-bourbon-chicago/560276,
Stalk & Barrel #Canada150,50.00%,750 mL ,,,$45.20,http://www.lcbo.com/lcbo/product/stalk-barrel-canada150/538330,
Canadian Club 100% Rye,40.00%,375 mL ,,,$15.95,http://www.lcbo.com/lcbo/product/canadian-club-100-rye/558957,
Glenfarclas 17-Year-Old Highland Single Malt,43.00%,700 mL ,,,$129.95,http://www.lcbo.com/lcbo/product/glenfarclas-17-year-old-highland-single-malt/721084,
J.P. Wiser's Commemorative Series Canada 2018,43.40%,750 mL ,,,$49.95,http://www.lcbo.com/lcbo/product/jp-wiser-s-commemorative-series-canada-2018/575126,
Timorous Beastie Highland Blended Malt Whisky,46.80%,750 mL ,,,$69.95,http://www.lcbo.com/lcbo/product/timorous-beastie-highland-blended-malt-whisky/543462,
Collectivum XXVIII,57.30%,750 mL ,,,$273.75,http://www.lcbo.com/lcbo/product/collectivum-xxviii/546101,
Ballantine's 15 YO The Glenburgie Single Malt,40.00%,700 mL ,,,$73.80,http://www.lcbo.com/lcbo/product/ballantine-s-15-yo-the-glenburgie-single-malt/561043,
Shackleton Blended Malt Scotch Whisky,40.00%,750 mL ,,,$57.50,http://www.lcbo.com/lcbo/product/shackleton-blended-malt-scotch-whisky/544163,
West Cork 12 YO Single Malt Cask Finish Whiskey,43.00%,700 mL ,,,$87.95,http://www.lcbo.com/lcbo/product/west-cork-12-yo-single-malt-cask-finish-whiskey/542761,
Naked Grouse,43.00%,750 mL ,,,$49.95,http://www.lcbo.com/lcbo/product/naked-grouse/551747,
Ezra Brooks 7 Year Old,50.50%,750 mL ,,,$47.70,http://www.lcbo.com/lcbo/product/ezra-brooks-7-year-old/543538,
The Arran Malt Sherry Cask Finish Single Malt,56.60%,700 mL ,,,$69.95,http://www.lcbo.com/lcbo/product/the-arran-malt-sherry-cask-finish-single-malt/191783,
Basil Hayden's Dark Rye,40.00%,750 mL ,,,$59.95,http://www.lcbo.com/lcbo/product/basil-hayden-s-dark-rye/543611,
Wayne Gretzky Ninety-Nine Proof Whisky,49.50%,750 mL ,,,$99.00,http://www.lcbo.com/lcbo/product/wayne-gretzky-ninety-nine-proof-whisky/570101,
Hibiki Harmony,43.00%,750 mL ,,,$110.25,http://www.lcbo.com/lcbo/product/hibiki-harmony/481226,
Bunnahabhain 12-Year-Old Islay Single Malt Scotch Whisky,40.00%,750 mL ,,,$87.95,http://www.lcbo.com/lcbo/product/bunnahabhain-12-year-old-islay-single-malt-scotch-whisky/37267,
The Glenlivet Founder's Reserve Scotch Whisky,40.00%,1750 mL ,,,$99.95,http://www.lcbo.com/lcbo/product/the-glenlivet-founder-s-reserve-scotch-whisky/561050,
The Glenlivet Founder's Reserve Scotch Whisky,40.00%,200 mL ,,,$15.95,http://www.lcbo.com/lcbo/product/the-glenlivet-founder-s-reserve-scotch-whisky/561068,
Tomintoul Speyside Glenlivet Single Malt 14 YO,46.00%,700 mL ,,,$119.95,http://www.lcbo.com/lcbo/product/tomintoul-speyside-glenlivet-single-malt-14-yo/543504,
The Arran Malt 10-Year-Old Single Malt Scotch Whisky,46.00%,700 mL ,,,$69.95,http://www.lcbo.com/lcbo/product/the-arran-malt-10-year-old-single-malt-scotch-whisky/5090,
Glen Scotia Double Cask Single Malt Scotch Whisky,51.50%,750 mL ,,,$74.35,http://www.lcbo.com/lcbo/product/glen-scotia-double-cask-single-malt-scotch-whisky/544148,
Old Overholt,40.00%,750 mL ,,,$28.30,http://www.lcbo.com/lcbo/product/old-overholt/549824,
Fuyu Blended Japanese Whisky,40.00%,700 mL ,,,$69.40,http://www.lcbo.com/lcbo/product/fuyu-blended-japanese-whisky/544023,
Tomatin 2007 Caribbean Rum Cask Highland Single Malt Scotch Whisky,46.00%,700 mL ,,,$98.55,http://www.lcbo.com/lcbo/product/tomatin-2007-caribbean-rum-cask-highland-single-malt-scotch-whisky/543546,
Crown Royal Extra Rare - Blue,40.00%,750 mL ,,,$200.10,http://www.lcbo.com/lcbo/product/crown-royal-extra-rare-blue/362632,
Orphan Barrel Entrapment,41.00%,750 mL ,,,$191.90,http://www.lcbo.com/lcbo/product/orphan-barrel-entrapment/560920,
Benromach 10 Year Old Speyside Single Malt Scotch Whisky,43.00%,700 mL ,,,$79.10,http://www.lcbo.com/lcbo/product/benromach-10-year-old-speyside-single-malt-scotch-whisky/346627,
Kilbeggan 18 Year Old Irish Whiskey,40.00%,700 mL ,,,$195.70,http://www.lcbo.com/lcbo/product/kilbeggan-18-year-old-irish-whiskey/543629,
Jim Beam Vanilla,35.00%,750 mL ,,,$28.25,http://www.lcbo.com/lcbo/product/jim-beam-vanilla/540112,
Glen Grant 12 Year Old Single Malt Scotch Whisky,43.00%,750 mL ,,,$69.50,http://www.lcbo.com/lcbo/product/glen-grant-12-year-old-single-malt-scotch-whisky/526749,
Forty Creek Barrel Select Whisky With Toque & Gloves,40.00%,750 mL ,,,$34.40,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky-with-toque-gloves/551523,
Johnnie Walker Blenders Batch Red Rye Scotch Whisky,40.00%,750 mL ,,,$50.00,http://www.lcbo.com/lcbo/product/johnnie-walker-blenders-batch-red-rye-scotch-whisky/541391,
Bowmore 12 Year Old Islay Single Malt Scotch Whisky,40.00%,350 mL ,,,$30.90,http://www.lcbo.com/lcbo/product/bowmore-12-year-old-islay-single-malt-scotch-whisky/543637,
Redemption Bourbon,42.00%,750 mL ,,,$49.45,http://www.lcbo.com/lcbo/product/redemption-bourbon/543488,
Basil Hayden Kentucky Bourbon,40.00%,375 mL ,,,$29.75,http://www.lcbo.com/lcbo/product/basil-hayden-kentucky-bourbon/541672,
Flatnose Blended Malt Scotch Whisky,46.00%,750 mL ,,,$69.00,http://www.lcbo.com/lcbo/product/flatnose-blended-malt-scotch-whisky/526558,
Johnnie Walker Blenders Batch Wine Cask Scotch Whisky,40.00%,750 mL ,,,$49.80,http://www.lcbo.com/lcbo/product/johnnie-walker-blenders-batch-wine-cask-scotch-whisky/541417,
Jim Beam Black,43.00%,375 mL ,,,$16.95,http://www.lcbo.com/lcbo/product/jim-beam-black/541664,
Eagle Rare 10 Year Old Kentucky Straight Bourbon,45.00%,750 mL ,,,$57.45,http://www.lcbo.com/lcbo/product/eagle-rare-10-year-old-kentucky-straight-bourbon/604785,
Bruichladdic The Organic 2009,50.00%,700 mL ,,,$115.05,http://www.lcbo.com/lcbo/product/bruichladdic-the-organic-2009/551820,
Crown Royal Northern Harvest Rye,45.00%,375 mL ,,,$19.50,http://www.lcbo.com/lcbo/product/crown-royal-northern-harvest-rye/541888,
Bastille 1789 Single Malt Whisky,43.00%,750 mL ,,,$98.60,http://www.lcbo.com/lcbo/product/bastille-1789-single-malt-whisky/543553,
Glen Moray 18 Year Old Speyside Single Malt Scotch Whisky,47.20%,700 mL ,,,$173.65,http://www.lcbo.com/lcbo/product/glen-moray-18-year-old-speyside-single-malt-scotch-whisky/516781,
The Temple Bar Signature Blend Irish Whiskey,40.00%,700 mL ,,,$59.65,http://www.lcbo.com/lcbo/product/the-temple-bar-signature-blend-irish-whiskey/543819,
Bruichladdich Octomore 8.1,59.30%,750 mL ,,,$225.00,http://www.lcbo.com/lcbo/product/bruichladdich-octomore-81/551838,
Robert Burns Arran Single Malt,40.00%,700 mL ,,,$51.95,http://www.lcbo.com/lcbo/product/robert-burns-arran-single-malt/981084,
Macallan Edition No. 3 Highland Single Malt Scotch Whisky,48.30%,750 mL ,,,$176.40,http://www.lcbo.com/lcbo/product/macallan-edition-no-3-highland-single-malt-scotch-whisky/535161,
Balblair 1999 Highland Single Malt Scotch Whisky,46.00%,700 mL ,,,$169.95,http://www.lcbo.com/lcbo/product/balblair-1999-highland-single-malt-scotch-whisky/430454,
Barchef Project The Toasted Old Fashioned,38.00%,375 mL ,,,$24.90,http://www.lcbo.com/lcbo/product/barchef-project-the-toasted-old-fashioned/546994,
Rock Oyster Blended Malt Scotch Whisky,46.80%,750 mL ,,,$65.10,http://www.lcbo.com/lcbo/product/rock-oyster-blended-malt-scotch-whisky/516302,
Wayne Gretzky Red Cask Whisky,40.00%,375 mL ,,,$24.95,http://www.lcbo.com/lcbo/product/wayne-gretzky-red-cask-whisky/541011,
Pike Creek 21 Year Old Double Barreled Canadian Whisky,45.00%,750 mL ,,,$90.15,http://www.lcbo.com/lcbo/product/pike-creek-21-year-old-double-barreled-canadian-whisky/541334,
Gooderham & Worts Little Trinity Canadian Whisky,45.00%,750 mL ,,,$80.15,http://www.lcbo.com/lcbo/product/gooderham-worts-little-trinity-canadian-whisky/541300,
Jack Daniel's Red Dog Saloon,40.00%,750 mL ,,,$36.40,http://www.lcbo.com/lcbo/product/jack-daniel-s-red-dog-saloon/526087,
Auchroisk 25 Year Old Speyside Single Malt Scotch Whisky,51.20%,750 mL ,,,$544.70,http://www.lcbo.com/lcbo/product/auchroisk-25-year-old-speyside-single-malt-scotch-whisky/522888,
Forty Creek Heritage,40.00%,750 mL ,,,$74.95,http://www.lcbo.com/lcbo/product/forty-creek-heritage/542985,
Highland Park Full Volume Single Malt Scotch Whisky,47.20%,750 mL ,,,$127.80,http://www.lcbo.com/lcbo/product/highland-park-full-volume-single-malt-scotch-whisky/534305,
Penderyn Celt,41.00%,700 mL ,,,$77.40,http://www.lcbo.com/lcbo/product/penderyn-celt/497503,
Jack Daniel's Rye,45.00%,750 mL ,,,$39.95,http://www.lcbo.com/lcbo/product/jack-daniel-s-rye/526079,
Cody Road Rye Whiskey,45.00%,750 mL ,,,$82.65,http://www.lcbo.com/lcbo/product/cody-road-rye-whiskey/526541,
Tipperary Distillery Knockmealdowns 10 Year Old,47.00%,700 mL ,,,$131.55,http://www.lcbo.com/lcbo/product/tipperary-distillery-knockmealdowns-10-year-old/516336,
Wayne Gretzky Ice Cask Whisky,40.00%,750 mL ,,,$59.60,http://www.lcbo.com/lcbo/product/wayne-gretzky-ice-cask-whisky/541094,
Brown Jug Bourbon Cream Liqueur,17.00%,750 mL ,,,$34.90,http://www.lcbo.com/lcbo/product/brown-jug-bourbon-cream-liqueur/499970,
Glendalough Double Barrel Irish Whiskey,42.00%,750 mL ,,,$39.85,http://www.lcbo.com/lcbo/product/glendalough-double-barrel-irish-whiskey/516096,
Caol Ila 12 Year Old Islay Single Malt Scotch Whisky,43.00%,750 mL ,,,$83.85,http://www.lcbo.com/lcbo/product/caol-ila-12-year-old-islay-single-malt-scotch-whisky/602029,
Catto's 12 Year Old Blended Scotch Whisky,40.00%,700 mL ,,,$54.80,http://www.lcbo.com/lcbo/product/catto-s-12-year-old-blended-scotch-whisky/516377,
Trafalgar Hot Chili Shine,40.00%,750 mL ,,,$43.10,http://www.lcbo.com/lcbo/product/trafalgar-hot-chili-shine/538579,
Highland Park Fire Single Malt Scotch Whisky,45.20%,750 mL ,,,$419.25,http://www.lcbo.com/lcbo/product/highland-park-fire-single-malt-scotch-whisky/498295,
Bushmills Red Bush Irish Whiskey,40.00%,750 mL ,,,$34.95,http://www.lcbo.com/lcbo/product/bushmills-red-bush-irish-whiskey/519215,
Jim Beam White Label Bourbon (PET),40.00%,375 mL ,,,$15.30,http://www.lcbo.com/lcbo/product/jim-beam-white-label-bourbon-pet/521294,
Jim Beam Rye,45.00%,750 mL ,,,$32.30,http://www.lcbo.com/lcbo/product/jim-beam-rye/524603,
Collingwood Town Collection Double Barrel,45.00%,750 mL ,,,$43.90,http://www.lcbo.com/lcbo/product/collingwood-town-collection-double-barrel/526061,
Jim Beam Single Barrel,47.50%,750 mL ,,,$51.95,http://www.lcbo.com/lcbo/product/jim-beam-single-barrel/526244,
Wolfhead Distillery Blended Coffee Liqueur,30.00%,750 mL ,,,$34.50,http://www.lcbo.com/lcbo/product/wolfhead-distillery-blended-coffee-liqueur/507905,
Ezra Brooks Black Label Bourbon Whiskey,40.00%,750 mL ,,,$31.75,http://www.lcbo.com/lcbo/product/ezra-brooks-black-label-bourbon-whiskey/517987,
Tomintoul Speyside Glenlivet Peaty Tang Single Malt Scotch Whisky,40.00%,700 mL ,,,$65.95,http://www.lcbo.com/lcbo/product/tomintoul-speyside-glenlivet-peaty-tang-single-malt-scotch-whisky/463588,
Glenfiddich Project XX Experimental Series,47.00%,750 mL ,,,$98.15,http://www.lcbo.com/lcbo/product/glenfiddich-project-xx-experimental-series/513077,
Royal Challenge Spirit Whisky,42.80%,750 mL ,,,$28.95,http://www.lcbo.com/lcbo/product/royal-challenge-spirit-whisky/354837,
Tamdhu Speyside Single Malt Scotch Whisky,58.80%,750 mL ,,,$122.95,http://www.lcbo.com/lcbo/product/tamdhu-speyside-single-malt-scotch-whisky/507558,
The Dublin Liberties Oak Devil,46.00%,750 mL ,,,$48.60,http://www.lcbo.com/lcbo/product/the-dublin-liberties-oak-devil/480798,
Lohin Mckinnon Single Malt Whisky,43.00%,750 mL ,,,$60.30,http://www.lcbo.com/lcbo/product/lohin-mckinnon-single-malt-whisky/499418,
Jim Beam Double Oak,43.00%,750 mL ,,,$37.20,http://www.lcbo.com/lcbo/product/jim-beam-double-oak/498873,
Glynnevan Double Barrelled Canadian Rye Whisky,43.00%,750 mL ,,,$48.75,http://www.lcbo.com/lcbo/product/glynnevan-double-barrelled-canadian-rye-whisky/496844,
The Macallan 15 Year Old Highland Single Malt Scotch Whisky,43.00%,750 mL ,,,$157.05,http://www.lcbo.com/lcbo/product/the-macallan-15-year-old-highland-single-malt-scotch-whisky/620229,
West Cork Original 10 Year Old Single Malt Irish Whiskey,40.00%,700 mL ,,,$63.35,http://www.lcbo.com/lcbo/product/west-cork-original-10-year-old-single-malt-irish-whiskey/463638,
Scapa Glansa Scotch Whisky,40.00%,750 mL ,,,$83.60,http://www.lcbo.com/lcbo/product/scapa-glansa-scotch-whisky/498741,
Maker's Mark Kentucky Bourbon,45.00%,375 mL ,,,$23.95,http://www.lcbo.com/lcbo/product/maker-s-mark-kentucky-bourbon/269563,
Reunion 100 Proof Moonshine,50.00%,750 mL ,,,$32.95,http://www.lcbo.com/lcbo/product/reunion-100-proof-moonshine/520692,
Johnnie Walker Triple Grain American Oak Scotch Whisky,41.30%,750 mL ,,,$49.55,http://www.lcbo.com/lcbo/product/johnnie-walker-triple-grain-american-oak-scotch-whisky/508465,
Tyrconnell 16 Year Old Single Malt Irish Whiskey,46.00%,750 mL ,,,$98.85,http://www.lcbo.com/lcbo/product/tyrconnell-16-year-old-single-malt-irish-whiskey/499376,
Michter's US-1 Original Small Batch Sour Mash Whiskey,42.40%,750 mL ,,,$86.25,http://www.lcbo.com/lcbo/product/michter-s-us-1-original-small-batch-sour-mash-whiskey/431874,
Wiser's Special Blend Whisky (PET),40.00%,750 mL ,,,$26.70,http://www.lcbo.com/lcbo/product/wiser-s-special-blend-whisky-pet/517904,
Reunion Maple Moonshine,30.00%,750 mL ,,,$32.95,http://www.lcbo.com/lcbo/product/reunion-maple-moonshine/520684,
Teeling Single Malt Irish Whiskey,46.00%,700 mL ,,,$86.00,http://www.lcbo.com/lcbo/product/teeling-single-malt-irish-whiskey/452128,
Kilchoman Sanaig Islay Single Malt Scotch Whisky,46.00%,700 mL ,,,$113.45,http://www.lcbo.com/lcbo/product/kilchoman-sanaig-islay-single-malt-scotch-whisky/493015,
The Feathery Blended Malt Scotch Whisky,40.00%,750 mL ,,,$88.70,http://www.lcbo.com/lcbo/product/the-feathery-blended-malt-scotch-whisky/463604,
Crown Royal Vanilla,35.00%,375 mL ,,,$16.95,http://www.lcbo.com/lcbo/product/crown-royal-vanilla/513598,
Glen Garioch 16 Year Old Renaissance Chapter II Highland Single Malt Scotch Whisky,51.40%,750 mL ,,,$142.35,http://www.lcbo.com/lcbo/product/glen-garioch-16-year-old-renaissance-chapter-ii-highland-single-malt-scotch-whisky/497198,
Glen Garioch 1995 Highland Single Malt Scotch Whisky,55.30%,750 mL ,,,$120.25,http://www.lcbo.com/lcbo/product/glen-garioch-1995-highland-single-malt-scotch-whisky/399964,
Dalmore 1263 King Alexander III Highland Single Malt Scotch Whisky,40.00%,750 mL ,,,$341.20,http://www.lcbo.com/lcbo/product/dalmore-1263-king-alexander-iii-highland-single-malt-scotch-whisky/346429,
Tullamore Dew 10 Year Old Single Malt Irish Whiskey,40.00%,750 mL ,,,$68.85,http://www.lcbo.com/lcbo/product/tullamore-dew-10-year-old-single-malt-irish-whiskey/421693,
Prichard's Single Malt Whiskey,40.00%,750 mL ,,,$89.05,http://www.lcbo.com/lcbo/product/prichard-s-single-malt-whiskey/426163,
Talisker 57 North Single Malt Scotch Whisky,57.00%,700 mL ,,,$171.50,http://www.lcbo.com/lcbo/product/talisker-57-north-single-malt-scotch-whisky/315739,
Oban Little Bay Single Malt Scotch Whisky,40.00%,750 mL ,,,$97.40,http://www.lcbo.com/lcbo/product/oban-little-bay-single-malt-scotch-whisky/405423,
Dalmore 18 Year Old Highland Single Malt Scotch Whisky,43.00%,750 mL ,,,$218.80,http://www.lcbo.com/lcbo/product/dalmore-18-year-old-highland-single-malt-scotch-whisky/236182,
Glenfiddich Excellence 26-Year-Old Single Malt Scotch Whisky,43.00%,750 mL ,,,"$1,269.00",http://www.lcbo.com/lcbo/product/glenfiddich-excellence-26-year-old-single-malt-scotch-whisky/394460,
Highland Park Dark Origins Single Malt Scotch Whisky,46.80%,750 mL ,,,$98.65,http://www.lcbo.com/lcbo/product/highland-park-dark-origins-single-malt-scotch-whisky/417931,
Benromach Organic Speyside,43.00%,700 mL ,,,$95.80,http://www.lcbo.com/lcbo/product/benromach-organic-speyside/477083,
Balblair 2002 Highland Single Malt Scotch Whisky,46.00%,700 mL ,,,$89.05,http://www.lcbo.com/lcbo/product/balblair-2002-highland-single-malt-scotch-whisky/375956,
Michter's US-1 Single Barrel Rye Whiskey,42.40%,750 mL ,,,$88.60,http://www.lcbo.com/lcbo/product/michter-s-us-1-single-barrel-rye-whiskey/433011,
Spicebox Pumpkin Whisky,35.00%,750 mL ,,,$28.45,http://www.lcbo.com/lcbo/product/spicebox-pumpkin-whisky/353334,
Koval Single Barrel Oat Whiskey,39.83%,750 mL ,,,$82.75,http://www.lcbo.com/lcbo/product/koval-single-barrel-oat-whiskey/488783,
Glen Garioch Renaissance Chapter 1 Highland Single Malt Scotch Whisky,51.90%,750 mL ,,,$142.40,http://www.lcbo.com/lcbo/product/glen-garioch-renaissance-chapter-1-highland-single-malt-scotch-whisky/497180,
Tyrconnell Port Cask Single Malt Irish Whiskey,46.00%,750 mL ,,,$97.50,http://www.lcbo.com/lcbo/product/tyrconnell-port-cask-single-malt-irish-whiskey/493593,
Michter's US-1 Small Batch Unblended Bourbon,41.70%,750 mL ,,,$82.10,http://www.lcbo.com/lcbo/product/michter-s-us-1-small-batch-unblended-bourbon/472662,
Royal Brackla 21 Year Old Highland Single Malt Scotch Whisky,40.00%,750 mL ,,,$341.70,http://www.lcbo.com/lcbo/product/royal-brackla-21-year-old-highland-single-malt-scotch-whisky/441303,
Cambus 40-Year-Old Single Grain Scotch Whisky,52.70%,750 mL ,,,"$1,799.00",http://www.lcbo.com/lcbo/product/cambus-40-year-old-single-grain-scotch-whisky/524736,
Linkwood 37-Year-Old Speyside Single Malt Scotch Whisky,50.30%,750 mL ,,,"$1,199.00",http://www.lcbo.com/lcbo/product/linkwood-37-year-old-speyside-single-malt-scotch-whisky/524728,
Cragganmore Special Release Single Malt Scotch Whisky,55.70%,750 mL ,,,"$1,099.00",http://www.lcbo.com/lcbo/product/cragganmore-special-release-single-malt-scotch-whisky/524777,
Highland Park Valkyrie Single Malt Scotch Whisky,45.90%,750 mL ,,,$98.65,http://www.lcbo.com/lcbo/product/highland-park-valkyrie-single-malt-scotch-whisky/498105,
Nikka Taketsuru Pure Malt Japanese Whisky,43.00%,700 mL ,,,$80.95,http://www.lcbo.com/lcbo/product/nikka-taketsuru-pure-malt-japanese-whisky/449132,
Lismore 15-Year-Old Single Malt Scotch Whisky,40.00%,750 mL ,,,$99.95,http://www.lcbo.com/lcbo/product/lismore-15-year-old-single-malt-scotch-whisky/495135,
Mortlach 18 Year Old Single Malt Scotch Whisky,43.40%,750 mL ,,,$342.60,http://www.lcbo.com/lcbo/product/mortlach-18-year-old-single-malt-scotch-whisky/408898,
Twelve Barrels,40.00%,750 mL ,,,$34.80,http://www.lcbo.com/lcbo/product/twelve-barrels/517151,
The Macallan Fine Oak 21-Year-Old Highland Single Malt Scotch Whisky,43.00%,750 mL ,,,$939.95,http://www.lcbo.com/lcbo/product/the-macallan-fine-oak-21-year-old-highland-single-malt-scotch-whisky/620211,
Magnetawan Rye Moonshine,40.00%,750 mL ,,,$29.95,http://www.lcbo.com/lcbo/product/magnetawan-rye-moonshine/512954,
