title,price,sale,volume,savings,link
The Macallan Fine Oak 21 years old,$940.00,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-macallan-fine-oak-21-years-old/12362885
Three Ships Whisky Single Malt 10 Years Old,$96.00,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/three-ships-whisky-single-malt-10-years-old/13335635
The Macallan Rare Cask Highland Scotch Single Malt,$400.25,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-macallan-rare-cask-highland-scotch-single-malt/12830044
The Glenrothes Vintage 2001 Speyside Scotch Single Malt,$96.00,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenrothes-vintage-2001-speyside-scotch-single-malt/12469826
The Macallan 30 ans Fine Oak Highland Scotch Single Malt,"$3,200.00",,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-macallan-30-ans-fine-oak-highland-scotch-single-malt/10783774
The Glenlivet Nàdurra First Fill Single,$95.00,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenlivet-nadurra-first-fill-single/12769829
The Macallan 15 ans Fine Oak Highland Scotch Single Malt,$144.50,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-macallan-15-ans-fine-oak-highland-scotch-single-malt/10797017
The Glendronach Cask Strength Batch 6,$142.00,,700 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glendronach-cask-strength-batch-6/13232530
The Glenrothes Scotch Single Malt,$105.50,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenrothes-scotch-single-malt/11531561
The Glenlivet Founder's Reserve Single malt Scotch whisky,$28.95,,375 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenlivet-founders-reserve-single-malt-scotch-whisky/13144302
The Glenlivet Nàdurra Oloroso Scotch Single Malt,$83.50,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenlivet-nadurra-oloroso-scotch-single-malt/12471310
The Tyrconnell Single Malt,$49.00,,700 ml,,https://www.saq.com/page/en/saqcom/irish-whiskey/the-tyrconnell-single-malt/11030580
The Glenrothes Select Reserve Scotch Single Malt,$60.00,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenrothes-select-reserve-scotch-single-malt/10769201
